id Note1 Note2 num All.SIDM00146_CPID1310_p-value All.SIDM00146_CPID1310_fdr All.SIDM00146_CPID1310_goodsgrna All.SIDM00146_CPID1310_lfc All.SIDM00146_CPID1313_p-value All.SIDM00146_CPID1313_fdr All.SIDM00146_CPID1313_goodsgrna All.SIDM00146_CPID1313_lfc All.SIDM00146_CPID1316_p-value All.SIDM00146_CPID1316_fdr All.SIDM00146_CPID1316_goodsgrna All.SIDM00146_CPID1316_lfc
ACTB~CDK12 LibraryCombinations LibraryCombinations 4 0.68979 1.0 2 -0.47213 0.69421 1.0 2 -0.55049 0.27172 0.821616 3 -0.89838
ACTB~CDK4 LibraryCombinations LibraryCombinations 4 0.12201 0.490806 3 -0.71019 0.14605 0.542348 4 -0.64356 0.12526 0.505812 4 -0.67282
ACTB~CDK6 LibraryCombinations LibraryCombinations 4 0.33897 0.944069 2 -0.63985 0.3362 0.93442 3 -0.75164 0.31024 0.893754 3 -0.70747
ACTB~CDK7 LibraryCombinations LibraryCombinations 4 0.020438 0.190752 4 -1.1488 0.021718 0.205757 4 -1.1712 0.02081 0.195065 4 -1.2351
ACTB~CHEK1 LibraryCombinations LibraryCombinations 4 0.020055 0.189574 4 -1.0101 0.02099 0.201409 4 -1.2014 0.02176 0.198747 4 -1.1042
ACTB~CHEK2 LibraryCombinations LibraryCombinations 4 0.98648 1.0 0 -0.11553 0.95413 1.0 0 -0.16952 0.94356 1.0 0 -0.18833
ACTB~CYLC2 LibrarySingletons LibrarySingletons 4 0.98206 1.0 0 -0.097772 0.96683 1.0 0 -0.050428 0.20705 1.0 0 0.12352
ACTB~DNMT1 LibraryCombinations LibraryCombinations 4 0.3422 0.949725 3 -0.60749 0.90818 1.0 1 -0.34482 0.78076 1.0 2 -0.40405
ACTB~DNMT3B LibraryCombinations LibraryCombinations 4 0.91834 1.0 1 -0.11599 0.98403 1.0 0 -0.14778 0.98379 1.0 0 -0.12302
ACTB~EZH2 LibraryCombinations LibraryCombinations 4 0.25075 1.0 0 0.1312 0.99369 1.0 0 -0.037874 0.40582 1.0 0 0.011695
ACTB~FGFR1 LibraryCombinations LibraryCombinations 4 0.22755 1.0 0 0.15941 0.42733 1.0 0 0.089137 0.32763 1.0 0 0.052841
ACTB~FGFR2 LibraryCombinations LibraryCombinations 4 0.36112 1.0 0 0.065736 0.20677 1.0 0 0.12149 0.199 1.0 0 0.05842
ACTB~GALR1 LibrarySingletons LibrarySingletons 4 0.60364 1.0 2 -0.20563 0.71453 1.0 2 -0.31032 0.78455 1.0 2 -0.27506
ACTB~GLS LibraryCombinations LibraryCombinations 4 0.46943 1.0 3 -0.44207 0.7331 1.0 2 -0.48273 0.35213 0.962006 3 -0.61574
ACTB~KMT2D LibraryCombinations LibraryCombinations 4 0.87623 1.0 1 -0.3164 0.67584 1.0 2 -0.47758 0.72476 1.0 2 -0.433
ACTB~MCL1 LibraryCombinations LibraryCombinations 4 0.55481 1.0 2 -0.36384 0.65274 1.0 2 -0.29975 0.42681 1.0 2 -0.49609
ACTB~MTOR LibraryCombinations LibraryCombinations 4 0.17872 0.606998 3 -0.65884 0.28965 0.851251 3 -0.79864 0.34314 0.949258 2 -0.65108
ACTB~MYC LibraryCombinations LibraryCombinations 4 0.079801 0.390238 4 -1.0365 0.081272 0.396718 4 -0.84504 0.074833 0.383437 4 -0.86024
ACTB~PARP1 LibraryCombinations LibraryCombinations 4 0.0021456 0.126116 2 0.35142 0.0017214 0.118365 2 0.30857 0.0069591 0.250566 2 0.42765
ACTB~PIK3CA LibraryCombinations LibraryCombinations 4 0.89232 1.0 1 -0.20164 0.83467 1.0 1 -0.32327 0.91547 1.0 1 -0.16917
ACTB~PIK3CB LibraryCombinations LibraryCombinations 4 0.69204 1.0 2 -0.42892 0.73927 1.0 2 -0.54565 0.79567 1.0 2 -0.41443
ACTB~PRMT1 LibraryCombinations LibraryCombinations 4 0.097797 0.436647 3 -1.0554 0.045425 0.29519 4 -1.1859 0.022837 0.20411 4 -1.2281
ACTB~PRMT5 LibraryCombinations LibraryCombinations 4 0.25319 0.782229 3 -0.81137 0.11663 0.479238 3 -0.97453 0.15821 0.569098 4 -0.89251
ACTB~PTPN11 LibraryCombinations LibraryCombinations 4 0.61351 1.0 2 -0.5605 0.9362 1.0 1 -0.3332 0.79695 1.0 2 -0.36573
ACTB~RAD21 LibraryCombinations LibraryCombinations 4 0.044264 0.284349 4 -1.0064 0.49838 1.0 2 -0.72592 0.15027 0.554251 4 -0.92891
ACTB~RAD51 LibraryCombinations LibraryCombinations 4 0.12667 0.500957 4 -0.70999 0.28922 0.850515 3 -0.75033 0.15945 0.571948 4 -0.89269
ACTB~RAF1 LibraryCombinations LibraryCombinations 4 0.97083 1.0 0 -0.011397 0.92732 1.0 1 -0.27802 0.83944 1.0 1 -0.28151
ACTB~TAZ LibraryCombinations LibraryCombinations 4 0.98502 1.0 0 -0.063647 0.91604 1.0 1 -0.35941 0.96862 1.0 0 -0.15325
ACTB~WEE1 LibraryCombinations LibraryCombinations 4 0.57767 1.0 2 -0.24837 0.68027 1.0 2 -0.22658 0.68514 1.0 2 -0.12535
ACTB~YAP1 LibraryCombinations LibraryCombinations 4 0.86089 1.0 1 -0.1938 0.98498 1.0 0 -0.0062174 0.98102 1.0 0 -0.012422
ACTL6A~NONTARGET00929 PositiveControls ESSENTIAL-NONTARGET 2 0.2698 0.81764 1 -0.9691 0.55882 1.0 1 -0.62697 0.42427 1.0 1 -0.7169
ACTR6~NONTARGET00406 PositiveControls ESSENTIAL-NONTARGET 2 0.84947 1.0 0 -0.23462 0.70806 1.0 1 -0.33167 0.36046 0.975562 2 -0.55167
ADAD1~AKT1 AnchorSingletons AnchorSingletons 8 0.0005284 0.059907 4 0.37098 7.0176e-06 0.004514 5 0.41678 4.9643e-05 0.013133 5 0.40404
ADAD1~AR AnchorSingletons AnchorSingletons 8 0.00073165 0.067379 4 0.24102 0.0076759 0.290819 3 0.30487 7.1995e-05 0.017483 5 0.48005
ADAD1~ARID1A AnchorSingletons AnchorSingletons 8 0.010761 0.349157 3 0.2376 0.061911 0.884613 2 0.093687 0.035631 0.584444 2 0.059842
ADAD1~ARID1B AnchorSingletons AnchorSingletons 8 1.3775e-05 0.005582 5 0.26691 0.00076179 0.070436 4 0.22985 2.781e-05 0.008684 5 0.27052
ADAD1~ASF1B GIControls GIControlsSingletons 8 0.56328 1.0 0 0.060668 0.99988 1.0 0 -0.008028 0.99992 1.0 0 -0.002024
ADAD1~ATM AnchorSingletons AnchorSingletons 8 0.0095384 0.325508 3 0.2479 0.00037297 0.052235 4 0.26493 0.0012385 0.091786 4 0.28745
ADAD1~ATR AnchorSingletons AnchorSingletons 8 0.071556 0.368857 7 -0.87653 0.057536 0.331487 7 -1.0025 0.0086641 0.127432 8 -1.001
ADAD1~BARD1 AnchorSingletons AnchorSingletons 8 0.25589 1.0 1 0.09137 0.1685 1.0 1 0.15775 0.19363 1.0 1 0.1468
ADAD1~BCL2 AnchorSingletons AnchorSingletons 8 0.0033723 0.173602 3 0.32975 1.5335e-05 0.006793 4 0.31292 0.00091566 0.078917 4 0.33161
ADAD1~BCL2L1 AnchorSingletons AnchorSingletons 8 0.37902 1.0 0 0.072936 0.99545 1.0 1 -0.037257 0.46895 1.0 0 0.12684
ADAD1~BRAF GIControls GIControlsSingletons 8 0.99615 1.0 0 -0.085717 0.98202 1.0 2 -0.30039 0.53467 1.0 0 0.024326
ADAD1~BRCA1 AnchorSingletons AnchorSingletons 8 0.92201 1.0 3 -0.22457 0.96517 1.0 2 -0.18416 0.97508 1.0 1 -0.26805
ADAD1~BRCA2 AnchorSingletons AnchorSingletons 8 0.90296 1.0 3 -0.35922 0.98356 1.0 2 -0.17672 0.89597 1.0 3 -0.32491
ADAD1~BRD4 AnchorSingletons AnchorSingletons 8 0.18264 0.61703 5 -0.73108 0.4564 1.0 5 -0.56968 0.56853 1.0 4 -0.62829
ADAD1~CDK12 AnchorSingletons AnchorSingletons 8 0.80784 1.0 4 -0.45522 0.25714 0.789186 6 -0.50374 0.34972 0.958952 5 -0.65015
ADAD1~CDK4 AnchorSingletons AnchorSingletons 8 0.96971 1.0 2 -0.31873 0.93656 1.0 3 -0.3558 0.88999 1.0 3 -0.23692
ADAD1~CDK6 AnchorSingletons AnchorSingletons 8 0.83042 1.0 4 -0.39657 0.91227 1.0 2 -0.32854 0.97755 1.0 2 -0.14857
ADAD1~CDK7 AnchorSingletons AnchorSingletons 8 0.049924 0.304384 7 -1.0101 0.032913 0.253907 6 -0.91446 0.021181 0.197046 7 -1.0974
ADAD1~CHEK1 AnchorSingletons AnchorSingletons 8 0.68927 1.0 4 -0.48545 0.26192 0.798468 5 -0.73148 0.61647 1.0 4 -0.39169
ADAD1~CHEK2 AnchorSingletons AnchorSingletons 8 0.003731 0.184105 3 0.16663 0.056076 0.844995 2 0.14102 0.079003 0.951788 1 0.16246
ADAD1~CNOT8 GIControls GIControlsSingletons 8 0.99766 1.0 0 -0.16208 0.99488 1.0 1 -0.11297 0.99586 1.0 1 -0.16714
ADAD1~CNPY2 GIControls GIControlsSingletons 8 0.92422 1.0 3 -0.28923 0.56466 1.0 5 -0.50624 0.94998 1.0 3 -0.38156
ADAD1~CSK GIControls GIControlsSingletons 8 0.37676 0.999043 6 -0.65996 0.8843 1.0 3 -0.50251 0.84767 1.0 4 -0.45361
ADAD1~DEFB123 GIControls GIControlsSingletons 8 0.48666 1.0 0 0.014872 0.99843 1.0 0 -0.024123 0.99931 1.0 0 -0.0032763
ADAD1~DNAJC15 GIControls GIControlsSingletons 8 0.95202 1.0 3 -0.28858 0.99736 1.0 0 -0.16166 0.99342 1.0 1 -0.13851
ADAD1~DNMT1 AnchorSingletons AnchorSingletons 8 0.68504 1.0 4 -0.44525 0.50052 1.0 5 -0.43595 0.30419 0.883744 4 -0.57053
ADAD1~DNMT3B AnchorSingletons AnchorSingletons 8 0.00073476 0.067379 4 0.13226 0.006091 0.259223 3 0.088564 0.088186 0.991546 2 0.065815
ADAD1~EFCAB3 GIControls GIControlsSingletons 8 0.97483 1.0 2 -0.19422 0.98913 1.0 1 -0.18059 0.9683 1.0 1 -0.28766
ADAD1~EGFR GIControls GIControlsSingletons 8 0.99915 1.0 0 -0.063162 0.9949 1.0 1 -0.019752 0.98376 1.0 1 -0.08838
ADAD1~ERBB2 GIControls GIControlsSingletons 8 0.99141 1.0 1 -0.094648 0.67437 1.0 3 -0.35655 0.98783 1.0 1 -0.17308
ADAD1~EZH2 AnchorSingletons AnchorSingletons 8 0.00015828 0.029275 4 0.33357 0.00028512 0.043446 4 0.41423 2.5991e-07 0.000495 6 0.56185
ADAD1~FAM50B GIControls GIControlsSingletons 8 0.99875 1.0 0 -0.017394 0.99565 1.0 1 -0.1208 0.028199 0.494344 2 0.10472
ADAD1~FGFR1 AnchorSingletons AnchorSingletons 8 0.00035478 0.049039 4 0.24416 0.0054272 0.244956 3 0.32625 0.00017024 0.028952 4 0.38816
ADAD1~FGFR2 AnchorSingletons AnchorSingletons 8 0.0093081 0.321764 3 0.29129 0.00046914 0.056199 4 0.23463 0.012349 0.345466 3 0.1495
ADAD1~GKN2 GIControls GIControlsSingletons 8 0.94753 1.0 3 -0.31343 0.80808 1.0 4 -0.36242 0.92638 1.0 3 -0.38889
ADAD1~GLS AnchorSingletons AnchorSingletons 8 0.15576 1.0 1 0.16159 0.24018 1.0 1 0.093976 0.50088 1.0 0 0.11291
