Old stable ID, New stable ID, Release, Mapping score
ENSG00000204683.12, <retired>, 101, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000285258.1, <retired>, 100, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000267545.1, <retired>, 97, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000286169.1, ENSG00000286169.2, 101, 0.879005
ENSG00000286169.2, <retired>, 102, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000263264.1, ENSG00000263264.2, 98, 0.957195
ENSG00000263264.2, <retired>, 103, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000181013.1, ENSG00000181013.2, 26, 0
ENSG00000181013.2, ENSG00000181013.3, 68, 0.989192
ENSG00000181013.3, <retired>, 98, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000243444.1, ENSG00000243444.2, 61, 0.998158
ENSG00000243444.2, ENSG00000243444.3, 62, 0.997969
ENSG00000243444.3, ENSG00000243444.4, 76, 0.906324
ENSG00000243444.4, ENSG00000243444.5, 77, 1
ENSG00000243444.5, ENSG00000243444.6, 79, 1
ENSG00000243444.6, ENSG00000243444.7, 81, 1
ENSG00000243444.7, ENSG00000243444.8, 96, 0.889979
ENSG00000243444.8, <retired>, 98, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000241978.1, ENSG00000241978.2, 60, 0.980807
ENSG00000241978.2, ENSG00000241978.3, 62, 0.971548
ENSG00000241978.3, ENSG00000241978.4, 63, 0.969925
ENSG00000241978.4, ENSG00000241978.5, 64, 0.969925
ENSG00000241978.5, ENSG00000241978.6, 76, 0.979625
ENSG00000241978.6, ENSG00000241978.7, 77, 1
ENSG00000241978.7, ENSG00000241978.8, 79, 1
ENSG00000241978.8, ENSG00000241978.9, 81, 1
ENSG00000241978.9, <retired>, 98, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000268861.1, ENSG00000268861.2, 76, 0.909218
ENSG00000268861.2, ENSG00000268861.3, 77, 1
ENSG00000268861.3, ENSG00000268861.4, 79, 1
ENSG00000268861.4, ENSG00000268861.5, 81, 1
ENSG00000268861.5, ENSG00000268861.6, 83, 0.941574
ENSG00000268861.6, ENSG00000268861.7, 97, 0.793535
ENSG00000268861.7, <retired>, 103, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000183729.1, ENSG00000183729.2, 26, 0
ENSG00000183729.2, ENSG00000183729.3, 62, 0.999628
ENSG00000183729.3, <retired>, 101, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000260300.1, ENSG00000260300.2, 76, 0.806872
ENSG00000260300.2, ENSG00000260300.3, 77, 1
ENSG00000260300.3, ENSG00000260300.4, 79, 1
ENSG00000260300.4, ENSG00000260300.5, 81, 1
ENSG00000260300.5, <retired>, 98, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000130723.1, ENSG00000130723.1, 3, 0
ENSG00000130723.1, ENSG00000130723.2, 18.1, 0
ENSG00000130723.2, ENSG00000130723.3, 18.2, 0
ENSG00000130723.3, ENSG00000130723.4, 21, 0
ENSG00000130723.4, ENSG00000130723.5, 26, 0
ENSG00000130723.5, ENSG00000130723.6, 38, 0
ENSG00000130723.6, ENSG00000130723.7, 47, 0.904054
ENSG00000130723.7, ENSG00000130723.8, 50, 0.876448
ENSG00000130723.8, ENSG00000130723.9, 55, 0.938059
ENSG00000130723.9, ENSG00000130723.10, 56, 0.985608
ENSG00000130723.10, ENSG00000130723.11, 61, 0.999001
ENSG00000130723.11, ENSG00000130723.12, 62, 0.988209
ENSG00000130723.12, ENSG00000130723.13, 68, 0.987983
ENSG00000130723.13, ENSG00000130723.14, 76, 0.970469
ENSG00000130723.14, ENSG00000130723.15, 77, 1
ENSG00000130723.15, ENSG00000130723.16, 79, 1
ENSG00000130723.16, ENSG00000130723.17, 81, 1
ENSG00000130723.17, ENSG00000130723.18, 88, 0.984765
ENSG00000130723.18, ENSG00000130723.19, 92, 0.997255
ENSG00000130723.19, ENSG00000130723.20, 96, 0.961935
ENSG00000130723.20, ENSG00000130723.20, 98, 0.98754
ENSG00000130723.20, ENSG00000130723.20, 99, 0.98754
ENSG00000130723.20, ENSG00000130723.21, 102, 0.974103
ENSG00000130723.21, <retired>, 103, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000286094.1, <retired>, 101, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000183791.1, ENSG00000183791.2, 26, 0
ENSG00000183791.2, ENSG00000183791.3, 38, 0
ENSG00000183791.3, ENSG00000183791.4, 47, 0.932916
ENSG00000183791.4, ENSG00000183791.5, 97, 0.900141
ENSG00000183791.5, <retired>, 101, 0
ENSG00000183791.5, ENSG00000288616.1, 101, 0.865191
ENSG00000183791.5, ENSG00000288631.1, 101, 0.865191
ENSG00000183791.5, ENSG00000288607.1, 101, 0.865191

Old stable ID, New stable ID, Release, Mapping score
ENSG00000284041.1, <retired>, 97, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000267697.1, ENSG00000267697.2, 97, 0.99
ENSG00000267697.2, <retired>, 100, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000213865.1, ENSG00000213865.2, 60, 0.883329
ENSG00000213865.2, ENSG00000213865.3, 62, 0.848909
ENSG00000213865.3, ENSG00000213865.4, 76, 1
ENSG00000213865.4, ENSG00000213865.5, 77, 0.999564
ENSG00000213865.5, ENSG00000213865.6, 79, 1
ENSG00000213865.6, ENSG00000213865.7, 81, 1
ENSG00000213865.7, <retired>, 97, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000274897.1, ENSG00000274897.2, 79, 0.998512
ENSG00000274897.2, ENSG00000274897.3, 96, 0.998512
ENSG00000274897.3, <retired>, 101, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000285441.1, <retired>, 101, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000260869.1, <retired>, 97, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000277669.1, <retired>, 97, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000213029.1, ENSG00000213029.2, 50, 0.730878
ENSG00000213029.2, ENSG00000213029.3, 76, 0.785632
ENSG00000213029.3, ENSG00000213029.4, 97, 0.583333
ENSG00000213029.4, <retired>, 100, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000281028.1, <retired>, 97, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000274744.1, ENSG00000274744.2, 97, 0.906667
ENSG00000274744.2, ENSG00000274744.3, 100, 0.882667
ENSG00000274744.3, <retired>, 101, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000262621.1, ENSG00000262621.2, 74, 0.860427
ENSG00000262621.2, ENSG00000262621.3, 76, 0.676345
ENSG00000262621.3, ENSG00000262621.4, 81, 0.83595
ENSG00000262621.4, ENSG00000262621.5, 92, 0.812474
ENSG00000262621.5, <retired>, 98, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000278674.1, ENSG00000278674.2, 97, 0.882667
ENSG00000278674.2, ENSG00000278674.3, 100, 0.882667
ENSG00000278674.3, <retired>, 101, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000272949.1, ENSG00000272949.1, 92, 0.707331
ENSG00000272949.1, <retired>, 97, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000286261.1, <retired>, 102, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000277726.1, ENSG00000277726.2, 77, 1
ENSG00000277726.2, ENSG00000277726.3, 79, 1
ENSG00000277726.3, ENSG00000277726.4, 81, 1
ENSG00000277726.4, ENSG00000277726.4, 98, 0.982873
ENSG00000277726.4, ENSG00000277726.4, 99, 0.982873
ENSG00000277726.4, <retired>, 103, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000255863.1, ENSG00000255863.2, 77, 0.974618
ENSG00000255863.2, <retired>, 97, 0

